Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,65,0,3,3.8263886615683216,2.5606469998820103,19.800347000455076,152.0,0.21725722507336642,0.0,3,3,4,4,4,8,11,20,20,20,20
POST,/queue (10),198,0,7,7.379623787863863,4.360064999673341,16.17575799991755,838.939393939394,0.6617989317619469,0.0,7,7,7,8,9,12,13,16,16,16,16
POST,/queue (200),75,0,19,21.349937399948733,12.078122999810148,144.44641299996874,16155.453333333333,0.25068141354619206,0.0,19,19,20,22,24,27,31,140,140,140,140
POST,/queue (50),650,0,9,9.930914555386083,5.036709000705741,29.384639000454627,4041.6523076923077,2.1725722507336642,0.0,9,10,10,11,12,13,16,20,29,29,29
,Aggregated,988,0,9,9.884838602222768,2.5606469998820103,144.44641299996874,4063.4848178137654,3.30230982111517,0.0,9,10,10,11,14,19,22,24,140,140,140
