Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,228,0,3,3.6312007675421722,1.696893999906024,21.90845299992361,152.0,0.7613694235193071,0.0,3,3,4,4,5,6,8,10,22,22,22
POST,/queue (10),580,0,7,7.652447970673981,3.3808719999797177,45.66609299945412,838.4086206896552,1.9368169545666585,0.0,7,7,7,8,10,12,18,29,46,46,46
POST,/queue (200),205,0,19,20.612034419532502,10.046626000075776,48.49672399996052,16163.824390243903,0.6845646132520086,0.0,19,20,21,23,27,30,38,42,48,48,48
POST,/queue (50),1983,0,9,10.3133980554684,5.056668000179343,47.7467880000404,4041.1986888552697,6.621910380871868,0.0,9,10,10,11,13,16,20,29,46,48,48
,Aggregated,2996,0,9,9.99441555340071,1.696893999906024,48.49672399996052,3954.677570093458,10.004661372209842,0.0,9,9,10,11,17,19,24,32,46,48,48
