Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,202,0,13,17.47180429208696,7.9498630002490245,167.14972900081193,52.0,0.6775097191785864,0.0,13,16,19,21,27,35,50,56,170,170,170
POST,/queue (10),564,0,18,24.41470659225341,9.599543000149424,357.774984999196,688.5159574468086,1.8916608000827857,0.0,18,22,25,27,35,43,110,190,360,360,360
POST,/queue (200),205,0,24,30.5866442683221,14.514590000544558,203.42992699988827,13151.08292682927,0.6875717447109416,0.0,24,29,32,35,43,57,110,140,200,200,200
POST,/queue (50),1980,0,19,24.24535521361145,10.034641001766431,256.9316089993663,3291.2515151515154,6.640936851354461,0.0,19,23,26,28,36,48,71,110,250,260,260
,Aggregated,2951,0,19,24.254579594371126,7.9498630002490245,357.774984999196,3257.0237207726195,9.897679115326774,0.0,19,23,26,28,36,47,77,130,250,360,360
