Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,64,0,15,17.993101718815296,8.909645999665372,95.28894499999296,52.0,0.21409490450374957,0.0,15,16,17,18,26,32,78,95,95,95,95
POST,/queue (10),211,0,20,23.786942540312154,11.865132000821177,186.3927309987048,688.7014218009479,0.7058441382857994,0.0,20,23,25,26,36,45,50,74,190,190,190
POST,/queue (200),71,0,28,32.849446112790325,15.653108999686083,191.6725150003913,13154.464788732394,0.2375115346838472,0.0,28,33,36,36,50,59,63,190,190,190,190
POST,/queue (50),649,0,22,24.924485405235675,11.71797700044408,292.30256600021676,3291.1371340523883,2.1710561409833358,0.0,22,25,27,28,35,42,61,70,290,290,290
,Aggregated,995,0,21,24.80291968644835,8.909645999665372,292.30256600021676,3234.732663316583,3.328506718456732,0.0,21,25,27,28,36,45,63,95,290,290,290
