Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,62,0,4,4.008507177493283,1.757631998771103,10.769841001092573,51.0,0.20705708875980133,0.0,4,4,4,4,5,8,10,11,11,11,11
POST,/queue (10),185,0,5,5.856081016217767,2.417826000964851,21.822132999659516,769.7351351351351,0.6178316358155362,0.0,5,5,6,7,8,10,16,17,22,22,22
POST,/queue (200),58,0,14,15.622824724075677,7.610839000335545,60.778413999287295,14730.189655172413,0.1936985669043303,0.0,14,15,16,16,22,28,32,61,61,61,61
POST,/queue (50),669,0,7,7.5906351106339445,3.1711870014987653,45.43718800050556,3711.391629297459,2.234212780327534,0.0,7,7,8,8,10,11,16,24,45,45,45
,Aggregated,974,0,7,7.511459092418243,1.757631998771103,60.778413999287295,3575.805954825462,3.2528000718072017,0.0,7,7,8,8,11,14,19,24,61,61,61
