Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,215,0,4,4.037165232579736,1.6866030000528554,21.59422500153596,51.0,0.7178797304388421,0.0,4,4,4,4,5,7,10,16,22,22,22
POST,/queue (10),594,0,5,6.3383507542085535,2.415607999864733,60.696456999721704,771.7996632996633,1.9833514413054523,0.0,5,6,6,7,9,12,17,24,61,61,61
POST,/queue (200),210,0,14,15.60189225713527,6.859353999971063,63.945900999897276,14796.952380952382,0.701184852986776,0.0,14,14,16,18,20,23,37,50,64,64,64
POST,/queue (50),1934,0,7,8.090472193393488,3.073812998991343,76.65175300098781,3703.4441571871766,6.4575785984591665,0.0,7,7,8,8,11,13,23,33,61,77,77
,Aggregated,2953,0,7,7.97708820488518,1.6866030000528554,76.65175300098781,3636.720284456485,9.859994623190236,0.0,7,7,8,9,13,15,22,32,61,77,77
