Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,55,0,15,15.608824054685432,8.21613699918089,42.680585000198334,52.0,0.18376427679301735,0.0,15,16,18,18,21,28,29,43,43,43,43
POST,/queue (10),202,0,20,21.36067272275084,11.301915999865741,108.83745799947064,689.3316831683169,0.6749160711307183,0.0,20,23,25,26,29,32,38,45,110,110,110
POST,/queue (200),93,0,29,29.471958580665337,16.043741999965278,70.97140299993043,13151.268817204302,0.3107286862136475,0.0,29,32,33,34,38,49,67,71,71,71,71
POST,/queue (50),642,0,21,23.201606506217814,10.78433499969833,102.49269299856678,3290.5856697819313,2.145030285474857,0.0,21,25,27,28,33,39,47,54,100,100,100
,Aggregated,992,0,21,22.993613647174477,8.21613699918089,108.83745799947064,3505.7752016129034,3.31443931961224,0.0,21,25,27,28,33,38,47,54,110,110,110
