Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,76,0,15,15.705343802605249,7.991827998921508,30.477653999696486,51.0,0.2538956118282012,0.0,15,17,18,18,23,26,30,30,30,30,30
POST,/queue (10),203,0,20,21.77621532026588,11.33948500137194,68.08757900034834,688.4926108374384,0.6781685421200637,0.0,20,23,24,25,29,38,50,56,68,68,68
POST,/queue (200),67,0,27,28.839270910454495,15.532536001046537,99.41632699883485,13153.835820895523,0.22382902621696685,0.0,27,31,32,33,39,48,69,99,99,99,99
POST,/queue (50),650,0,21,22.381080984604733,11.79204199979722,97.48380800010636,3291.5723076923077,2.1714756274780367,0.0,21,24,25,26,30,36,43,49,97,97,97
,Aggregated,996,0,21,22.182843002013556,7.991827998921508,99.41632699883485,3177.1777108433735,3.327368807643268,0.0,21,24,25,26,31,37,47,53,99,99,99
