Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,197,0,14,15.335756776639663,7.239440999910585,47.97271200004616,51.0,0.6577996829209226,0.0,14,17,18,19,23,27,30,39,48,48,48
POST,/queue (10),616,1,18,21.12289870453199,3.2120580017362954,80.81274100004521,687.3457792207793,2.0568761658847126,0.00333908468487778,18,22,24,26,33,43,56,64,81,81,81
POST,/queue (200),198,0,24,28.904236252543857,14.02624400179775,80.86374300000898,13150.68686868687,0.6611387676058004,0.0,24,30,34,38,45,61,71,80,81,81,81
POST,/queue (50),1946,0,19,21.637492615114166,10.13143100135494,88.02840399948764,3291.02569373073,6.497858796772159,0.0,19,22,24,26,34,41,51,62,85,88,88
,Aggregated,2957,1,19,21.59704061346147,3.2120580017362954,88.02840399948764,3192.9739600946905,9.873673413183594,0.00333908468487778,19,22,24,26,34,42,54,64,81,88,88
