Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,204,0,3,3.8245524509269067,1.6368679989682278,32.354867000321974,55.0,0.681147357252063,0.0,3,4,4,4,5,6,8,9,32,32,32
POST,/queue (10),594,0,5,6.044464262641831,2.3402119986712933,35.25787699982175,844.0521885521886,1.9833408343515952,0.0,5,5,6,6,9,11,18,29,35,35,35
POST,/queue (200),211,0,13,14.947298999945232,6.491512000138755,64.93624199902115,16281.398104265403,0.7045200606871828,0.0,13,14,16,17,18,20,27,39,65,65,65
POST,/queue (50),1929,0,7,7.687958290308237,3.0699599992658477,60.369628999978886,4070.423535510627,6.440849275192302,0.0,7,7,8,8,10,13,17,25,52,60,60
,Aggregated,2938,0,7,7.608771988764932,1.6368679989682278,64.93624199902115,4016.2726344452008,9.809857527483143,0.0,7,7,8,9,13,15,19,28,59,65,65
