Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,67,0,4,3.929756701456508,1.9683459995576413,12.462213999242522,55.0,0.22380360806673547,0.0,4,4,4,4,5,6,11,12,12,12,12
POST,/queue (10),194,0,5,5.6583885206490185,2.6387249999970663,15.037412000310724,844.6855670103092,0.6480283576857714,0.0,5,6,6,6,7,8,10,13,15,15,15
POST,/queue (200),55,0,14,15.24057609084676,8.070658001088304,64.35930200132134,16275.145454545454,0.1837193797562754,0.0,14,14,15,16,17,24,28,64,64,64,64
POST,/queue (50),676,0,7,7.580748727867523,3.987771000538487,42.858606999288895,4070.412721893491,2.258078194822585,0.0,7,7,8,8,9,12,13,16,43,43,43
,Aggregated,992,0,7,7.382902113950114,1.9683459995576413,64.35930200132134,3845.046370967742,3.313629540331367,0.0,7,7,8,8,11,13,15,17,64,64,64
