Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,211,1,4,3.9787010805821628,1.6143310003826628,25.50373299891362,51.75355450236967,0.7047006222747279,0.0033398133757096106,4,4,4,4,5,6,8,18,26,26,26
POST,/queue (10),604,0,5,5.606886715255639,2.5678980000520824,29.72617200066452,766.5430463576159,2.017247278928605,0.0,5,5,6,6,8,9,10,12,30,30,30
POST,/queue (200),182,0,13,14.98090021429092,6.152445999759948,62.89088199991966,14678.934065934065,0.6078460343791492,0.0,13,14,15,16,20,25,40,53,63,63,63
POST,/queue (50),1995,0,7,7.4737561328129,3.143222000289825,53.62835699997959,3677.1839598997494,6.662927684540674,0.0,7,7,8,8,10,12,16,20,49,54,54
,Aggregated,2992,1,7,7.307063110955857,1.6143310003826628,62.89088199991966,3503.1617647058824,9.992721620123156,0.0033398133757096106,7,7,8,8,11,13,18,22,53,63,63
