Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,63,0,4,3.668708809484434,2.072932998999022,7.307021000087843,52.0,0.21064537587537624,0.0,4,4,4,4,4,6,7,7,7,7,7
POST,/queue (10),194,0,5,5.56796052060423,3.0908499993529404,13.505364999218727,767.1288659793814,0.6486540146003649,0.0,5,5,6,6,7,9,11,13,14,14,14
POST,/queue (200),75,0,13,13.652186306668833,7.034456999463146,25.200942998708342,14757.4,0.25076830461354316,0.0,13,14,14,14,16,18,21,25,25,25,25
POST,/queue (50),675,0,7,7.335661404434143,3.2335560008505126,29.931884999314207,3676.1970370370373,2.2569147415218884,0.0,7,7,8,8,9,11,13,16,30,30,30
,Aggregated,1007,0,7,7.236145399193594,2.072932998999022,29.931884999314207,3714.3366434955315,3.3669824366111727,0.0,7,7,8,8,12,13,15,16,25,30,30
