Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,74,0,3,3.528534662121741,1.6082600004665437,9.36179899963463,152.0,0.24716564028589286,0.0,3,3,4,4,5,5,6,9,9,9,9
POST,/queue (10),196,0,7,7.8384674286460685,3.528687000653008,113.20998599967425,838.0051020408164,0.6546549391356081,0.0,7,7,8,8,8,11,15,21,110,110,110
POST,/queue (200),57,0,19,22.926947719274164,11.683265999636205,176.479546000337,16150.578947368422,0.1903843445445391,0.0,19,20,21,24,25,29,32,180,180,180,180
POST,/queue (50),653,0,9,10.0098316202281,6.080371000280138,35.00955799972871,4042.4517611026035,2.1810697717120004,0.0,9,10,10,10,12,15,19,22,35,35,35
,Aggregated,980,0,9,9.83745637655022,1.6082600004665437,176.479546000337,3812.041836734694,3.2732746956780407,0.0,9,9,10,11,14,19,23,25,180,180,180
