Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,197,0,3,3.8057627055879983,1.7804119997890666,19.053130999964196,152.0,0.6579238433241406,0.0,3,3,4,4,5,7,10,16,19,19,19
POST,/queue (10),564,0,7,7.31949889364061,3.53711400020984,30.431998000494787,838.4343971631206,1.8835992265726664,0.0,7,7,7,8,9,11,13,14,30,30,30
POST,/queue (200),217,0,19,20.101357686617792,10.392231999503565,67.18942999941646,16161.788018433179,0.7247181421387741,0.0,19,19,21,22,25,27,32,35,67,67,67
POST,/queue (50),2000,1,9,10.453853356501895,2.709708000111277,58.65938300030393,4039.4305,6.6794298814633555,0.003339714940731678,9,10,10,11,13,17,21,36,59,59,59
,Aggregated,2978,1,9,10.123449952993282,1.7804119997890666,67.18942999941646,4059.3653458697113,9.945671093498937,0.003339714940731678,9,10,10,11,17,19,24,32,59,67,67
