Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,45,0,3,3.6362977778480854,2.2932179999770597,5.7670629994390765,52.0,0.15060036453897213,0.0,3,4,4,4,4,5,6,6,6,6,6
POST,/queue (10),186,0,5,5.41083837626541,2.2987219999777153,13.167489998522797,768.4462365591398,0.6224815067610848,0.0,5,5,6,6,7,7,10,11,13,13,13
POST,/queue (200),65,0,13,14.314972615242228,6.695669999317033,59.13348499962012,14719.907692307692,0.21753385988962642,0.0,13,13,14,14,16,27,38,59,59,59,59
POST,/queue (50),688,0,7,7.293651418623022,3.2669050015101675,28.0578929996409,3677.5494186046512,2.3025122400625073,0.0,7,7,7,8,9,11,13,15,28,28,28
,Aggregated,984,0,6,7.234303591455197,2.2932179999770597,59.13348499962012,3691.2794715447153,3.293127971252191,0.0,6,7,7,8,11,13,14,20,59,59,59
