Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,198,0,3,3.6055929646101155,1.5646520005248021,13.301409999257885,52.0,0.661308630298675,0.0,3,4,4,4,4,5,7,8,13,13,13
POST,/queue (10),558,0,5,6.104912394302669,2.1915629986324348,37.64688599949295,765.8405017921147,1.8636879581144479,0.0,5,5,6,6,8,12,16,28,38,38,38
POST,/queue (200),215,0,13,14.205702283770945,5.864167000254383,52.47957500068878,14682.13023255814,0.7180876541121977,0.0,13,13,15,16,20,22,24,25,52,52,52
POST,/queue (50),2007,0,7,7.53604026458375,3.055839999433374,55.84991099931358,3675.9995017438964,6.703264752572934,0.0,7,7,7,8,10,12,17,26,44,56,56
,Aggregated,2978,0,6,7.488081707536613,1.5646520005248021,55.84991099931358,3684.359973136333,9.946348995098253,0.0,7,7,8,9,12,14,20,25,52,56,56
