Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,53,0,4,4.015702452890318,2.0834570004808484,11.534620000020368,48.0,0.17702497811085074,0.0,4,4,4,4,5,8,9,12,12,12,12
POST,/queue (10),214,0,5,5.463280364433856,2.3438930002157576,13.046182999460143,766.8411214953271,0.7147801002966426,0.0,5,5,6,6,6,8,8,11,13,13,13
POST,/queue (200),63,0,14,14.481384349156066,9.643382998547168,29.244692999782274,14706.984126984127,0.210425917377049,0.0,14,14,14,15,18,20,22,29,29,29,29
POST,/queue (50),670,1,7,7.357287243345371,1.986102000955725,25.404698999409447,3670.7358208955225,2.237862930835283,0.0033400939266198253,7,7,7,8,9,11,13,15,25,25,25
,Aggregated,1000,1,7,7.223683895030263,1.986102000955725,29.244692999782274,3552.581,3.3400939266198253,0.0033400939266198253,7,7,7,8,11,13,15,18,29,29,29
