Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,191,0,4,3.8547814868714205,1.6948409993347013,13.630659999762429,48.0,0.6380819654877885,0.0,4,4,4,4,5,6,9,11,14,14,14
POST,/queue (10),569,0,5,6.13303014411742,2.4511840001650853,37.46725900055026,765.9736379613357,1.9008829233641449,0.0,5,5,6,6,8,10,15,29,37,37,37
POST,/queue (200),190,0,14,15.924984868433967,6.275314999584225,78.5536069997761,14728.978947368421,0.6347412222129833,0.0,14,15,17,18,21,26,42,69,79,79,79
POST,/queue (50),2032,0,7,7.779819735215882,3.165782999531075,40.596099000140384,3681.199311023622,6.7883903344041165,0.0,7,7,8,9,11,13,16,21,39,41,41
,Aggregated,2982,0,7,7.733165071413943,1.6948409993347013,78.5536069997761,3596.1468812877265,9.962096445469033,0.0,7,7,8,9,12,14,20,26,47,79,79
