Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,68,0,4,3.947397558931698,3.1076590003067395,9.059818999958225,47.0,0.2271452923851265,0.0,4,4,4,4,5,6,9,9,9,9,9
POST,/queue (10),190,0,5,5.528663600020273,3.1287080000765854,11.575215999982902,761.7789473684211,0.6346706698996182,0.0,5,5,6,6,7,9,11,11,12,12,12
POST,/queue (200),66,0,13,14.63311475758515,7.152883999879123,64.9110419999488,14686.878787878788,0.22046454849144634,0.0,13,14,15,15,17,20,22,65,65,65,65
POST,/queue (50),675,0,7,7.343870638522073,3.3525510007166304,37.331671999709215,3677.6133333333332,2.2547510641170647,0.0,7,7,7,8,9,12,14,17,37,37,37
,Aggregated,999,0,7,7.24901638940363,3.1076590003067395,64.9110419999488,3603.26026026026,3.3370315748932557,0.0,7,7,7,8,12,13,16,20,65,65,65
