Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,214,0,3,3.8031123691733772,1.7221590005647158,18.81727399995725,47.0,0.71469764461802,0.0,3,4,4,4,5,6,9,10,19,19,19
POST,/queue (10),574,0,5,5.929066280459221,2.3216110002977075,36.014434000207984,766.1114982578397,1.9169927477137545,0.0,5,5,6,6,9,11,14,17,36,36,36
POST,/queue (200),204,0,13,14.513250176494195,6.273277000218513,55.199580000589776,14701.970588235294,0.6813005584209162,0.0,13,14,15,16,19,22,27,43,55,55,55
POST,/queue (50),2003,0,7,7.70218390164047,2.9660170002898667,64.91459000062605,3679.976035946081,6.689436365279879,0.0,7,7,7,8,11,12,17,27,59,65,65
,Aggregated,2995,0,7,7.547688642062562,1.7221590005647158,64.91459000062605,3612.687813021703,10.00242731603257,0.0,7,7,8,9,12,14,18,27,59,65,65
