Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,201,0,14,16.46677220397483,7.463436000762158,103.76475600060076,52.0,0.6714786069803969,0.0,14,16,18,19,24,33,44,49,100,100,100
POST,/queue (10),597,0,19,22.014723726958437,9.558333000313723,139.57872499850055,688.0787269681742,1.9943916834193876,0.0,19,22,24,26,33,38,62,79,140,140,140
POST,/queue (200),199,0,26,28.892219904561564,14.070173001528019,118.23102000016661,13151.075376884422,0.6647972278064626,0.0,26,30,32,35,42,53,84,100,120,120,120
POST,/queue (50),1981,0,20,23.845566147923055,9.716388000015286,145.43954100008705,3290.7864714790508,6.617906071781921,0.0,20,24,27,29,36,44,60,88,140,150,150
,Aggregated,2978,0,20,23.31773995232923,7.463436000762158,145.43954100008705,3209.3173270651446,9.948573589988168,0.0,20,23,27,29,35,43,60,84,140,150,150
