Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,55,0,17,17.652776381907064,9.160939000139479,53.72763100058364,52.0,0.1837544176384127,0.0,17,18,20,21,23,31,39,54,54,54,54
POST,/queue (10),223,0,22,23.30347510309725,11.884439998539165,89.81134799978463,688.5201793721973,0.7450406387884733,0.0,22,25,25,27,31,36,54,57,90,90,90
POST,/queue (200),65,0,26,30.096651446225362,15.500366000196664,115.92804499923659,13145.4,0.21716431175448775,0.0,26,30,34,35,42,56,73,120,120,120,120
POST,/queue (50),650,0,23,24.158668326143435,12.398249999023392,58.85923800087767,3291.043076923077,2.1716431175448774,0.0,23,25,27,28,34,39,48,51,59,59,59
,Aggregated,993,0,23,23.994959118825232,9.160939000139479,115.92804499923659,3172.2346424974826,3.317602485726251,0.0,23,25,27,28,34,40,51,56,120,120,120
