Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,182,0,3,3.7969775549144895,2.1055580000393093,15.19553600155632,54.0,0.6080317788316285,0.0,3,4,4,4,4,6,11,15,15,15,15
POST,/queue (10),637,0,5,5.967528298318213,2.5545759999658912,41.60602099909738,844.1648351648352,2.1281112259107,0.0,5,5,6,6,8,10,16,26,42,42,42
POST,/queue (200),200,0,13,14.982762644976901,6.587449999642558,62.590719000581885,16269.93,0.6681667899248666,0.0,13,14,14,16,19,22,41,60,63,63,63
POST,/queue (50),1959,0,7,7.51296240274837,3.0672129996673902,58.56304799999634,4071.11842776927,6.544693707314067,0.0,7,7,7,8,10,12,15,20,58,59,59
,Aggregated,2978,0,7,7.456954774010267,2.1055580000393093,62.590719000581885,3954.6232370718603,9.949003501981263,0.0,7,7,7,8,12,14,18,24,59,63,63
