Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,58,0,4,3.9692945515682743,2.5822650004556635,11.497342000438948,54.0,0.19377551511909716,0.0,4,4,4,4,5,6,9,11,11,11,11
POST,/queue (10),188,0,5,5.869135111705428,3.4693289999268018,14.288906999354367,844.5425531914893,0.6280999455584528,0.0,5,6,6,6,8,10,12,14,14,14,14
POST,/queue (200),67,0,13,15.016568597112288,7.034473999738111,67.47540399919671,16269.402985074626,0.2238441295341295,0.0,13,14,15,16,18,21,25,67,67,67,67
POST,/queue (50),681,0,7,7.4183289544793976,3.9515370008302853,27.81825099918933,4071.093979441997,2.2751918240707787,0.0,7,7,8,8,9,11,14,15,28,28,28
,Aggregated,994,0,7,7.436225954726935,2.5822650004556635,67.47540399919671,4048.662977867203,3.3209114142824583,0.0,7,7,8,8,11,13,16,18,67,67,67
